#,Reference,Qty,Value,Footprint,Manufacturer,Part Number,Alt Part Number,Rating,Color,DNP,Voltage Rating
1,C6,1,100nF,Custom_Microcontroller:C_0603,Samsung,CL10B104KB8NNNC,,50V,,,
2,"D1,D5",2,~,Custom_Microcontroller:LED_0603,Lite-On Inc.,LTST-C191KGKT,,,Green,,
3,J1,1,OSTTE040104,Custom_Microcontroller:OSTTE040104,On Shore Technology,OSTTE040104,,10A,,,
4,J3,1,Analog,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical,,PPTC151LFBN-RC,,,,,
5,J4,1,Digital,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical,,PPTC151LFBN-RC,,,,,
6,"R1,R20",2,1K,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT1K00,,1/10W,,,
7,"R3,R4",2,10K,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT10K0,,1/10W,,,
8,"R9,R10,R13,R17",4,10K,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT10K0,,1/10W,,,
9,SW3,1,~,Custom_Microcontroller:PTS815 SJM 250 SMTR LFS,C&K,PTS815SJM250SMTRLFS,,,,,
10,U2,1,AT28C256-15PU,Custom_Microcontroller:AT28C256-15PU,Microchip,AT28C256-15PU,,,,,
11,U4,1,MCP23017T-E/SO,Custom_Microcontroller:MCP23017T-E_SO,Microchip,MCP23017T-E/SO,,,,,